tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
79872,NYS Senate Woman of Distinction,18,33,,,,delete,
79873,Class of 2020,2,14,,,,delete,
79874,Great Neck,15,11,,,,delete,
79875,Domestic Violence; COVID-19; Coronavirus; COVID Testing; State Reopening,1,40,Domestic Violence,semicolon_first_term_seed,high,merge_to_canonical,6971.0
79879,Memorial Day Weekend; Coronavirus; COVID-19; Small Businesses,1,7,,,,delete,
79902,Food Distribution,39,103,Nutrition,keyword_match,medium,merge_to_canonical,7411.0
79903,SD 19,110,44,,,,delete,
79905,Absentee Ballots,30,160,Elections,keyword_match,medium,merge_to_canonical,7011.0
7991,Animal Rights,43,549,Animal Welfare,keyword_match,medium,merge_to_canonical,9462.0
79911,Port Chester,8,4,,,,delete,
79912,Coronavius Testing,2,9,,,,delete,
79915,Hempstead Union Free School District,1,5,Education,keyword_match,medium,merge_to_canonical,7001.0
79916,Hempstead Schools,1,5,Education,keyword_match,medium,merge_to_canonical,7001.0
79919,H2A,2,4,,,,delete,
79923,Yes Safe Choices,2,8,,,,delete,
79925,Taxation and Regulation,2,33,Taxes,keyword_match,medium,merge_to_canonical,7626.0
79929,mortgages,4,34,,,,delete,
79930,Habeus Corpus,0,1,,,,delete,
79933,Habeas Corpus,4,25,,,,delete,
79959,Curfew,1,45,,,,delete,
7996,Flooding,61,109,Environment,keyword_match,medium,merge_to_canonical,7036.0
79960,Mayor de Blasio,3,48,,,,delete,
